algaeSiteID,transect,soilSiteID,samplePair,season,island,treatment,elevation,aspect,slope,m2burrow,ph,compaction,runoff,depth,fetch,kinaDensity,soilN15,soilCN,algaeSpecies,algaeN15,algaeCN,Arthrocardia_sp,Carpophyllum_angustifolium,Carpophyllum_flexuosum,Carpophyllum_maschalocarpum,Carpophyllum_plumosum,Champia_laingii,Cystophora_retroflexa,Delisea_compressa,Dictyota_kunthii,Ecklonia_radiata,Hormosira_banksii,Hymenena_affinis,Lessonia_variegata,Melanthalia_abscissa,Nesophila_hoggardii,Plocamium_cirrhosum,Pterocladia_lucida,Pterocladiella_capillacea,Ptilonia_mooreana,Sargassum_sinclairii,Ulva_pertusa,Vidalia_colensoi,Xiphophora_chondrophylla,Zonaria_sp
AL2A-1,AL2A,GM31,AL2A-1 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,1,81.318,NA,2.91,15.97883598,E. radiata,5.77,19.72355771,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM31,AL2A-1 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,1,81.318,NA,2.91,15.97883598,X. chondrophylla,6.34,26.5996075,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM31,AL2A-1 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,1,81.318,NA,2.91,15.97883598,X. chondrophylla,5.9,27.6672913,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM32,AL2A-1 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,1,81.318,NA,4.65,16.66666667,E. radiata,5.77,19.72355771,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM32,AL2A-1 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,1,81.318,NA,4.65,16.66666667,X. chondrophylla,5.9,27.6672913,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM32,AL2A-1 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,1,81.318,NA,4.65,16.66666667,X. chondrophylla,6.34,26.5996075,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM34,AL2A-1 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,1,81.318,NA,7.16,15.71936057,E. radiata,5.77,19.72355771,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM34,AL2A-1 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,1,81.318,NA,7.16,15.71936057,X. chondrophylla,5.9,27.6672913,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM34,AL2A-1 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,1,81.318,NA,7.16,15.71936057,X. chondrophylla,6.34,26.5996075,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM35,AL2A-1 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,1,81.318,NA,5,18.58391608,E. radiata,5.77,19.72355771,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
